[7/6/2012] [11:9:58] SMS: oi, enviou:  para dimmy_scarface
[7/6/2012] [11:12:31] SMS: ç, enviou:  para dimmy_scarface
[7/6/2012] [11:16:29] SMS: ooi, enviou:  para dimmy_scarface
[8/7/2012] [22:54:54] SMS: ., enviou:  para dimmy_scarface
[8/7/2012] [22:54:54] SMS: 1, enviou:  para dimmy_scarface
[8/7/2012] [22:54:54] SMS: 2, enviou:  para dimmy_scarface
[20/7/2012] [19:34:22] SMS: ii, enviou:  para dimmy_scarface
[25/7/2012] [21:5:27] SMS: 5, enviou:  para dimmy_scarface
[25/7/2012] [21:8:45] SMS: 5, enviou:  para dimmy_scarface
[8/8/2012] [16:15:15] SMS: oi, enviou:  para dimmy_scarface
[8/8/2012] [16:15:15] SMS: oi, enviou:  para dimmy_scarface
[8/8/2012] [16:15:15] SMS: oi, enviou:  para dimmy_scarface
[8/8/2012] [22:46:25] SMS: oi, enviou:  para dimmy_scarface
[8/8/2012] [22:46:25] SMS: oi, enviou:  para dimmy_scarface
[8/8/2012] [22:46:25] SMS: oi, enviou:  para dimmy_scarface
[12/9/2012] [13:34:29] SMS: oi, enviou:  para dimmy_scarface
[12/9/2012] [13:34:29] SMS: oi, enviou:  para dimmy_scarface
